,Release Date,Season,Episode,Episode Title,Name,Sentence,House,Sentences_Clean,Num_Words,Tokenized_Sentence,Tokenized_No_Stop,Stemmed_Sentence,Stemmed_Sentence_Non_Token,Sentiment,Sentiment_Compound_Score,Lannister_Word_Score,Stark_Word_Score,Targaryen_Word_Score,Mormont_Word_Score
26,4/17/2011,Season 1,Episode 1,Winter is Coming,catelyn stark,Do you have to?,House Stark, do you have to,4,"['do', 'you', 'have', 'to']",[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
27,4/17/2011,Season 1,Episode 1,Winter is Coming,eddard stark,"He swore an oath, Cat.",House Stark, he swore an oath cat,5,"['he', 'swore', 'an', 'oath', 'cat']","['swore', 'oath', 'cat']","['swore', 'oath', 'cat']", swore oath cat,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0004227436060029592
29,4/17/2011,Season 1,Episode 1,Winter is Coming,eddard stark,"Tell Bran he's coming, too.",House Stark, tell bran he is coming too,6,"['tell', 'bran', 'he', 'is', 'coming', 'too']","['tell', 'bran', 'coming']","['tell', 'bran', 'coming']", tell bran coming,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0005790387955993051,0.001736111111111111,0.0014201663623453033,0.0004227436060029592
30,4/17/2011,Season 1,Episode 1,Winter is Coming,catelyn stark,Ned. Ten is too young to see such things.,House Stark, ned ten is too young to see such things,9,"['ned', 'ten', 'is', 'too', 'young', 'to', 'see', 'such', 'things']","['ned', 'ten', 'young', 'see', 'things']","['ned', 'ten', 'young', 'see', 'thing']", ned ten young see thing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0008801389693109437,0.0007272012578616353,0.00030432136335970786,0.001014584654407102
31,4/17/2011,Season 1,Episode 1,Winter is Coming,eddard stark,He won't be a boy forever. And winter is coming.,House Stark, he will not be a boy forever and winter is coming,11,"['he', 'will', 'not', 'be', 'a', 'boy', 'forever', 'and', 'winter', 'is', 'coming']","['boy', 'forever', 'winter', 'coming']","['boy', 'forever', 'winter', 'coming']", boy forever winter coming,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0008106543138390272,0.000909001572327044,0.0,0.0007926442612555486
32,4/17/2011,Season 1,Episode 1,Winter is Coming,robb stark,"Lad, go run back and get the rest.",House Stark, lad go run back and get the rest,8,"['lad', 'go', 'run', 'back', 'and', 'get', 'the', 'rest']","['lad', 'go', 'run', 'back', 'get', 'rest']","['lad', 'go', 'run', 'back', 'get', 'rest']", lad go run back get rest,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0006755452615325227,0.0014904350104821803,0.0006593629539460337,0.0006341154090044388
35,4/17/2011,Season 1,Episode 1,Winter is Coming,eddard stark,"nods yes, and WILL is positioned on the tree limb that serves as a block.",House Stark, nods yes and will is positioned on the tree limb that serves as a block,15,"['nods', 'yes', 'and', 'will', 'is', 'positioned', 'on', 'the', 'tree', 'limb', 'that', 'serves', 'as', 'a', 'block']","['nods', 'yes', 'positioned', 'tree', 'limb', 'serves', 'block']","['nod', 'yes', 'positioned', 'tree', 'limb', 'serf', 'block']", nod yes positioned tree limb serf block,"{'neg': 0.274, 'neu': 0.472, 'pos': 0.255, 'compound': -0.0516}",-0.0516,0.0002812474150053768,0.00021057951482479785,0.00034779584383966614,0.0
37,4/17/2011,Season 1,Episode 1,Winter is Coming,eddard stark,"In the name of Robert of the House Baratheon, first of his name …",House Stark, in the name of robert of the house baratheon first of his name …,14,"['in', 'the', 'name', 'of', 'robert', 'of', 'the', 'house', 'baratheon', 'first', 'of', 'his', 'name']","['name', 'robert', 'house', 'baratheon', 'first', 'name']","['name', 'robert', 'house', 'baratheon', 'first', 'name']", name robert house baratheon first name,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.00025091681142636556,0.0011628668763102726,0.00045648204503956173,0.0
38,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,Don't look away.,House Stark, do not look away,4,"['do', 'not', 'look', 'away']","['look', 'away']","['look', 'away']", look away,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0012738853503184713,0.000884433962264151,0.0007608034083992696,0.0
39,4/17/2011,Season 1,Episode 1,Winter is Coming,eddard stark,King of the Andals and the First Men …,House Stark, king of the andals and the first men …,9,"['king', 'of', 'the', 'andals', 'and', 'the', 'first', 'men']","['king', 'andals', 'first', 'men']","['king', 'andals', 'first', 'men']", king andals first men,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0019397799652576722,0.002137382075471698,0.0020541692026780282,0.0014267596702599874
40,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,Father will know if you do.,House Stark, father will know if you do,6,"['father', 'will', 'know', 'if', 'you', 'do']","['father', 'know']","['father', 'know']", father know,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0027214823393167343,0.004618710691823899,0.0028910529519172246,0.0019023462270133164
41,4/17/2011,Season 1,Episode 1,Winter is Coming,eddard stark,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",House Stark, lord of the seven kingdoms and protector of the realm i eddard of the house stark lord of winterfell and warden of the north sentence you to die,28,"['lord', 'of', 'the', 'seven', 'kingdoms', 'and', 'protector', 'of', 'the', 'realm', 'i', 'eddard', 'of', 'the', 'house', 'stark', 'lord', 'of', 'winterfell', 'and', 'warden', 'of', 'the', 'north', 'sentence', 'you', 'to', 'die']","['lord', 'seven', 'kingdoms', 'protector', 'realm', 'eddard', 'house', 'stark', 'lord', 'winterfell', 'warden', 'north', 'sentence', 'die']","['lord', 'seven', 'kingdom', 'protector', 'realm', 'eddard', 'house', 'stark', 'lord', 'winterfell', 'warden', 'north', 'sentence', 'die']", lord seven kingdom protector realm eddard house stark lord winterfell warden north sentence die,"{'neg': 0.227, 'neu': 0.698, 'pos': 0.076, 'compound': -0.5574}",-0.5574,0.0011746215567871618,0.0011160714285714285,0.0004130075645596035,0.00013588187335809404
42,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,You did well.,House Stark, you did well,3,"['you', 'did', 'well']",['well'],['well'], well,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",0.2732,0.0015055008685581934,0.0018671383647798742,0.0012172854534388314,0.0019023462270133164
43,4/17/2011,Season 1,Episode 1,Winter is Coming,eddard stark,You understand why I did it?,House Stark, you understand why i did it,6,"['you', 'understand', 'why', 'i', 'did', 'it']",['understand'],['understand'], understand,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
44,4/17/2011,Season 1,Episode 1,Winter is Coming,bran stark,Jon said he was a deserter.,House Stark, jon said he was a deserter,6,"['jon', 'said', 'he', 'was', 'a', 'deserter']","['jon', 'said', 'deserter']","['jon', 'said', 'deserter']", jon said deserter,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.00042462845010615707,0.0008189203354297695,0.0,0.0
45,4/17/2011,Season 1,Episode 1,Winter is Coming,eddard stark,But do you understand why I had to kill him?,House Stark, but do you understand why i had to kill him,10,"['but', 'do', 'you', 'understand', 'why', 'i', 'had', 'to', 'kill', 'him']","['understand', 'kill']","['understand', 'kill']", understand kill,"{'neg': 0.825, 'neu': 0.175, 'pos': 0.0, 'compound': -0.6908}",-0.6908,0.0006369426751592356,0.0008352987421383648,0.0015216068167985392,0.0009511731135066582
46,4/17/2011,Season 1,Episode 1,Winter is Coming,bran stark,Our way is the old way?,House Stark, our way is the old way,6,"['our', 'way', 'is', 'the', 'old', 'way']","['way', 'old', 'way']","['way', 'old', 'way']", way old way,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0007861635220125786,0.0014201663623453033,0.0
47,4/17/2011,Season 1,Episode 1,Winter is Coming,eddard stark,The man who passes the sentence should swing the sword.,House Stark, the man who passes the sentence should swing the sword,10,"['the', 'man', 'who', 'passes', 'the', 'sentence', 'should', 'swing', 'the', 'sword']","['man', 'passes', 'sentence', 'swing', 'sword']","['man', 'pass', 'sentence', 'swing', 'sword']", man pass sentence swing sword,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.0772}",0.0772,0.0008338158656629993,0.0007272012578616353,0.0005477784540474742,0.0017755231452124287
48,4/17/2011,Season 1,Episode 1,Winter is Coming,bran stark,Is it true he saw the White Walkers?,House Stark, is it true he saw the white walkers,8,"['is', 'it', 'true', 'he', 'saw', 'the', 'white', 'walkers']","['true', 'saw', 'white', 'walkers']","['true', 'saw', 'white', 'walker']", true saw white walker,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.4215}",0.4215,0.0003184713375796178,0.0002456761006289308,0.00030432136335970786,0.0003170577045022194
49,4/17/2011,Season 1,Episode 1,Winter is Coming,eddard stark,The White Walkers have been gone for thousands of years.,House Stark, the white walkers have been gone for thousands of years,10,"['the', 'white', 'walkers', 'have', 'been', 'gone', 'for', 'thousands', 'of', 'years']","['white', 'walkers', 'gone', 'thousands', 'years']","['white', 'walker', 'gone', 'thousand', 'year']", white walker gone thousand year,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0005477784540474741,0.0002536461636017755
50,4/17/2011,Season 1,Episode 1,Winter is Coming,bran stark,So he was lying?,House Stark, so he was lying,4,"['so', 'he', 'was', 'lying']",['lying'],['lying'], lying,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5267}",-0.5267,0.0,0.0,0.0,0.0
51,4/17/2011,Season 1,Episode 1,Winter is Coming,eddard stark,A madman sees what he sees.,House Stark, a madman sees what he sees,6,"['a', 'madman', 'sees', 'what', 'he', 'sees']","['madman', 'sees', 'sees']","['madman', 'see', 'see']", madman see see,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0015441034549314803,0.0017688679245283017,0.0010144045445323595,0.0012682308180088776
52,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,What is it?,House Stark, what is it,3,"['what', 'is', 'it']",[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
54,4/17/2011,Season 1,Episode 1,Winter is Coming,eddard stark,There are no mountain lions in these woods.,House Stark, there are no mountain lions in these woods,8,"['there', 'are', 'no', 'mountain', 'lions', 'in', 'these', 'woods']","['mountain', 'lions', 'woods']","['mountain', 'lion', 'wood']", mountain lion wood,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
56,4/17/2011,Season 1,Episode 1,Winter is Coming,eddard stark,It's a direwolf.,House Stark, it is a direwolf,4,"['it', 'is', 'a', 'direwolf']",['direwolf'],['direwolf'], direwolf,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
57,4/17/2011,Season 1,Episode 1,Winter is Coming,eddard stark,Tough old beast.,House Stark, tough old beast,3,"['tough', 'old', 'beast']","['tough', 'old', 'beast']","['tough', 'old', 'beast']", tough old beast,"{'neg': 0.429, 'neu': 0.571, 'pos': 0.0, 'compound': -0.128}",-0.128,0.0,0.0,0.0004057618178129438,0.0
58,4/17/2011,Season 1,Episode 1,Winter is Coming,robb stark,There are no direwolves south of the Wall.,House Stark, there are no direwolves south of the wall,8,"['there', 'are', 'no', 'direwolves', 'south', 'of', 'the', 'wall']","['direwolves', 'south', 'wall']","['direwolves', 'south', 'wall']", direwolves south wall,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0003474232773595831,0.0004258385744234801,0.0,0.0006341154090044388
59,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,Now there are five.,House Stark, now there are five,4,"['now', 'there', 'are', 'five']",['five'],['five'], five,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
60,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,You want to hold it?,House Stark, you want to hold it,5,"['you', 'want', 'to', 'hold', 'it']","['want', 'hold']","['want', 'hold']", want hold,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.0772}",0.0772,0.0010422698320787492,0.0022602201257861635,0.002738892270237371,0.0019023462270133164
61,4/17/2011,Season 1,Episode 1,Winter is Coming,bran stark,Where will they go? Their mother's dead.,House Stark, where will they go their mothers dead,7,"['where', 'will', 'they', 'go', 'their', 'mothers', 'dead']","['go', 'mothers', 'dead']","['go', 'mother', 'dead']", go mother dead,"{'neg': 0.683, 'neu': 0.317, 'pos': 0.0, 'compound': -0.6486}",-0.6486,0.0010422698320787492,0.002194706498951782,0.0006086427267194157,0.001479602621010357
63,4/17/2011,Season 1,Episode 1,Winter is Coming,eddard stark,Better a quick death. They won't last without their mother.,House Stark, better a quick death they will not last without their mother,11,"['better', 'a', 'quick', 'death', 'they', 'will', 'not', 'last', 'without', 'their', 'mother']","['better', 'quick', 'death', 'last', 'without', 'mother']","['better', 'quick', 'death', 'last', 'without', 'mother']", better quick death last without mother,"{'neg': 0.361, 'neu': 0.37, 'pos': 0.269, 'compound': -0.25}",-0.25,0.0005597375024126616,0.0004913522012578616,0.0002536011361330899,0.0
65,4/17/2011,Season 1,Episode 1,Winter is Coming,bran stark,NO!,House Stark, no,1,['no'],[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
66,4/17/2011,Season 1,Episode 1,Winter is Coming,robb stark,Put away your blade.,House Stark, put away your blade,4,"['put', 'away', 'your', 'blade']","['put', 'away', 'blade']","['put', 'away', 'blade']", put away blade,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0003860258637328701,0.00029481132075471697,0.0005072022722661798,0.0
68,4/17/2011,Season 1,Episode 1,Winter is Coming,bran stark,"Please, father!",House Stark, please father,2,"['please', 'father']","['please', 'father']","['please', 'father']", please father,"{'neg': 0.0, 'neu': 0.303, 'pos': 0.697, 'compound': 0.3182}",0.3182,0.0015634047481181239,0.0030463836477987423,0.0015216068167985392,0.0009511731135066582
69,4/17/2011,Season 1,Episode 1,Winter is Coming,eddard stark,"I'm sorry, Bran.",House Stark, i am sorry bran,4,"['i', 'am', 'sorry', 'bran']","['sorry', 'bran']","['sorry', 'bran']", sorry bran,"{'neg': 0.565, 'neu': 0.435, 'pos': 0.0, 'compound': -0.0772}",-0.0772,0.0004053271569195136,0.0007861635220125787,0.0,0.0
70,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,House Stark, lord stark there are five pups one for each of the stark children the direwolf is the sigil of your house they were meant to have them,27,"['lord', 'stark', 'there', 'are', 'five', 'pups', 'one', 'for', 'each', 'of', 'the', 'stark', 'children', 'the', 'direwolf', 'is', 'the', 'sigil', 'of', 'your', 'house', 'they', 'were', 'meant', 'to', 'have', 'them']","['lord', 'stark', 'five', 'pups', 'one', 'stark', 'children', 'direwolf', 'sigil', 'house', 'meant']","['lord', 'stark', 'five', 'pup', 'one', 'stark', 'child', 'direwolf', 'sigil', 'house', 'meant']", lord stark five pup one stark child direwolf sigil house meant,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0014528609780491656,0.001027372784448256,0.0006639738836939081,0.0006341154090044389
71,4/17/2011,Season 1,Episode 1,Winter is Coming,eddard stark,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",House Stark, you will train them yourselves you will feed them yourselves and if they die you will bury them yourselves,19,"['you', 'will', 'train', 'them', 'yourselves', 'you', 'will', 'feed', 'them', 'yourselves', 'and', 'if', 'they', 'die', 'you', 'will', 'bury', 'them', 'yourselves']","['train', 'feed', 'die', 'bury']","['train', 'feed', 'die', 'bury']", train feed die bury,"{'neg': 0.565, 'neu': 0.435, 'pos': 0.0, 'compound': -0.5994}",-0.5994,0.00028951939779965256,0.00022110849056603774,0.0,0.0
72,4/17/2011,Season 1,Episode 1,Winter is Coming,bran stark,What about you?,House Stark, what about you,3,"['what', 'about', 'you']",[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
73,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,I'm not a Stark. Get on.,House Stark, i am not a stark get on,7,"['i', 'am', 'not', 'a', 'stark', 'get', 'on']","['stark', 'get']","['stark', 'get']", stark get,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0028372900984365954,0.0018671383647798742,0.0,0.0015852885225110971
74,4/17/2011,Season 1,Episode 1,Winter is Coming,robb stark,What is it?,House Stark, what is it,3,"['what', 'is', 'it']",[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
76,4/17/2011,Season 1,Episode 1,Winter is Coming,jaime lannister,"As your brother, I feel it's my duty to warn you",House Lannister, as your brother i feel it is my duty to warn you,12,"['as', 'your', 'brother', 'i', 'feel', 'it', 'is', 'my', 'duty', 'to', 'warn', 'you']","['brother', 'feel', 'duty', 'warn']","['brother', 'feel', 'duty', 'warn']", brother feel duty warn,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.1027}",-0.1027,0.0008396062536189925,0.0005896226415094339,0.0005325623858794887,0.0003170577045022194
77,4/17/2011,Season 1,Episode 1,Winter is Coming,cersei lannister,"And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.",House Lannister, and you never worry about anything when we were seven you jumped off the cliffs as casterly rock one hundred foot drop into the water and you were never afraid,30,"['and', 'you', 'never', 'worry', 'about', 'anything', 'when', 'we', 'were', 'seven', 'you', 'jumped', 'off', 'the', 'cliffs', 'as', 'casterly', 'rock', 'one', 'hundred', 'foot', 'drop', 'into', 'the', 'water', 'and', 'you', 'were', 'never', 'afraid']","['never', 'worry', 'anything', 'seven', 'jumped', 'cliffs', 'casterly', 'rock', 'one', 'hundred', 'foot', 'drop', 'water', 'never', 'afraid']","['never', 'worry', 'anything', 'seven', 'jumped', 'cliff', 'casterly', 'rock', 'one', 'hundred', 'foot', 'drop', 'water', 'never', 'afraid']", never worry anything seven jumped cliff casterly rock one hundred foot drop water never afraid,"{'neg': 0.12, 'neu': 0.743, 'pos': 0.137, 'compound': 0.0788}",0.0788,0.0005558772437753329,0.0005110062893081761,0.0008318117265165349,0.0003804692454026633
78,4/17/2011,Season 1,Episode 1,Winter is Coming,jaime lannister,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools.",House Lannister, there was nothing to be afraid of until you told father in a whisper mimicking we are lannisters lannisters do not act like fools,24,"['there', 'was', 'nothing', 'to', 'be', 'afraid', 'of', 'until', 'you', 'told', 'father', 'in', 'a', 'whisper', 'mimicking', 'we', 'are', 'lannisters', 'lannisters', 'do', 'not', 'act', 'like', 'fools']","['nothing', 'afraid', 'told', 'father', 'whisper', 'mimicking', 'lannisters', 'lannisters', 'act', 'like', 'fools']","['nothing', 'afraid', 'told', 'father', 'whisper', 'mimicking', 'lannisters', 'lannisters', 'act', 'like', 'fool']", nothing afraid told father whisper mimicking lannisters lannisters act like fool,"{'neg': 0.201, 'neu': 0.625, 'pos': 0.174, 'compound': -0.1027}",-0.1027,0.000958046007264305,0.0010363064608347626,0.000663973883693908,0.00028823427682019947
79,4/17/2011,Season 1,Episode 1,Winter is Coming,cersei lannister,What if Jon Arryn told someone?,House Lannister, what if jon arryn told someone,6,"['what', 'if', 'jon', 'arryn', 'told', 'someone']","['jon', 'arryn', 'told', 'someone']","['jon', 'arryn', 'told', 'someone']", jon arryn told someone,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0002026635784597568,0.0009581367924528302,0.0,0.0
80,4/17/2011,Season 1,Episode 1,Winter is Coming,jaime lannister,But who would he tell?,House Lannister, but who would he tell,5,"['but', 'who', 'would', 'he', 'tell']","['would', 'tell']","['would', 'tell']", would tell,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.00335842501447597,0.003979952830188679,0.003956177723676202,0.0012682308180088776
81,4/17/2011,Season 1,Episode 1,Winter is Coming,cersei lannister,My husband.,House Lannister, my husband,2,"['my', 'husband']",['husband'],['husband'], husband,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
82,4/17/2011,Season 1,Episode 1,Winter is Coming,jaime lannister,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",House Lannister, if he told the king both our heads would be skewered on the city gates by now whatever jon arryn knew or did not know it died with him and robert will choose a new hand of the king someone to do his job while he is off fucking boars and hunting whores or is it the other way around and life will go on,65,"['if', 'he', 'told', 'the', 'king', 'both', 'our', 'heads', 'would', 'be', 'skewered', 'on', 'the', 'city', 'gates', 'by', 'now', 'whatever', 'jon', 'arryn', 'knew', 'or', 'did', 'not', 'know', 'it', 'died', 'with', 'him', 'and', 'robert', 'will', 'choose', 'a', 'new', 'hand', 'of', 'the', 'king', 'someone', 'to', 'do', 'his', 'job', 'while', 'he', 'is', 'off', 'fucking', 'boars', 'and', 'hunting', 'whores', 'or', 'is', 'it', 'the', 'other', 'way', 'around', 'and', 'life', 'will', 'go', 'on']","['told', 'king', 'heads', 'would', 'skewered', 'city', 'gates', 'whatever', 'jon', 'arryn', 'knew', 'know', 'died', 'robert', 'choose', 'new', 'hand', 'king', 'someone', 'job', 'fucking', 'boars', 'hunting', 'whores', 'way', 'around', 'life', 'go']","['told', 'king', 'head', 'would', 'skewered', 'city', 'gate', 'whatever', 'jon', 'arryn', 'knew', 'know', 'died', 'robert', 'choose', 'new', 'hand', 'king', 'someone', 'job', 'fucking', 'boar', 'hunting', 'whore', 'way', 'around', 'life', 'go']", told king head would skewered city gate whatever jon arryn knew know died robert choose new hand king someone job fucking boar hunting whore way around life go,"{'neg': 0.225, 'neu': 0.687, 'pos': 0.088, 'compound': -0.7152}",-0.7152,0.0007651584084705104,0.001193283917340521,0.0006412485870793845,0.0005435274934323762
